table_name	column_name
mdl_competency_userevidence	id
mdl_competency_userevidence	userid
mdl_competency_userevidence	name
mdl_competency_userevidence	description
mdl_competency_userevidence	descriptionformat
mdl_competency_userevidence	url
mdl_competency_userevidence	timecreated
mdl_competency_userevidence	timemodified
mdl_competency_userevidence	usermodified
mdl_competency_userevidencecomp	id
mdl_competency_userevidencecomp	userevidenceid
mdl_competency_userevidencecomp	competencyid
mdl_competency_userevidencecomp	timecreated
mdl_competency_userevidencecomp	timemodified
mdl_competency_userevidencecomp	usermodified
mdl_config	id
mdl_config	name
mdl_config	value
mdl_config_log	id
mdl_config_log	userid
mdl_config_log	timemodified
mdl_config_log	plugin
mdl_config_log	name
mdl_config_log	value
mdl_config_log	oldvalue
mdl_config_plugins	id
mdl_config_plugins	plugin
mdl_config_plugins	name
mdl_config_plugins	value
mdl_context	id
mdl_context	contextlevel
mdl_context	instanceid
mdl_context	path
mdl_context	depth
mdl_context_temp	id
mdl_context_temp	path
mdl_context_temp	depth
mdl_course	id
mdl_course	category
mdl_course	sortorder
mdl_course	fullname
mdl_course	shortname
mdl_course	idnumber
mdl_course	summary
mdl_course	summaryformat
mdl_course	format
mdl_course	showgrades
mdl_course	newsitems
mdl_course	startdate
mdl_course	enddate
mdl_course	marker
mdl_course	maxbytes
mdl_course	legacyfiles
mdl_course	showreports
mdl_course	visible
mdl_course	visibleold
mdl_course	groupmode
mdl_course	groupmodeforce
mdl_course	defaultgroupingid
mdl_course	lang
mdl_course	calendartype
mdl_course	theme
mdl_course	timecreated
mdl_course	timemodified
mdl_course	requested
mdl_course	enablecompletion
mdl_course	completionnotify
mdl_course	cacherev
mdl_course_categories	id
mdl_course_categories	name
mdl_course_categories	idnumber
mdl_course_categories	description
mdl_course_categories	descriptionformat
mdl_course_categories	parent
mdl_course_categories	sortorder
mdl_course_categories	coursecount
mdl_course_categories	visible
mdl_course_categories	visibleold
mdl_course_categories	timemodified
mdl_course_categories	depth
mdl_course_categories	path
mdl_course_categories	theme
mdl_course_completion_aggr_methd	id
mdl_course_completion_aggr_methd	course
mdl_course_completion_aggr_methd	criteriatype
mdl_course_completion_aggr_methd	method
mdl_course_completion_aggr_methd	value
mdl_course_completion_crit_compl	id
mdl_course_completion_crit_compl	userid
mdl_course_completion_crit_compl	course
mdl_course_completion_crit_compl	criteriaid
mdl_course_completion_crit_compl	gradefinal
mdl_course_completion_crit_compl	unenroled
mdl_course_completion_crit_compl	timecompleted
mdl_course_completion_criteria	id
mdl_course_completion_criteria	course
mdl_course_completion_criteria	criteriatype
mdl_course_completion_criteria	module
mdl_course_completion_criteria	moduleinstance
mdl_course_completion_criteria	courseinstance
mdl_course_completion_criteria	enrolperiod
mdl_course_completion_criteria	timeend
mdl_course_completion_criteria	gradepass
mdl_course_completion_criteria	role
mdl_course_completions	id
mdl_course_completions	userid
mdl_course_completions	course
mdl_course_completions	timeenrolled
mdl_course_completions	timestarted
mdl_course_completions	timecompleted
mdl_course_completions	reaggregate
mdl_course_format_options	id
mdl_course_format_options	courseid
mdl_course_format_options	format
mdl_course_format_options	sectionid
mdl_course_format_options	name
mdl_course_format_options	value
mdl_course_modules	id
mdl_course_modules	course
mdl_course_modules	module
mdl_course_modules	instance
mdl_course_modules	section
mdl_course_modules	idnumber
mdl_course_modules	added
mdl_course_modules	score
mdl_course_modules	indent
mdl_course_modules	visible
mdl_course_modules	visibleold
mdl_course_modules	groupmode
mdl_course_modules	groupingid
mdl_course_modules	completion
mdl_course_modules	completiongradeitemnumber
mdl_course_modules	completionview
mdl_course_modules	completionexpected
mdl_course_modules	showdescription
mdl_course_modules	availability
mdl_course_modules	deletioninprogress
mdl_course_modules_completion	id
mdl_course_modules_completion	coursemoduleid
mdl_course_modules_completion	userid
mdl_course_modules_completion	completionstate
mdl_course_modules_completion	viewed
mdl_course_modules_completion	timemodified
mdl_course_published	id
mdl_course_published	huburl
mdl_course_published	courseid
mdl_course_published	timepublished
mdl_course_published	enrollable
mdl_course_published	hubcourseid
mdl_course_published	status
mdl_course_published	timechecked
mdl_course_request	id
mdl_course_request	fullname
mdl_course_request	shortname
mdl_course_request	summary
mdl_course_request	summaryformat
mdl_course_request	category
mdl_course_request	reason
mdl_course_request	requester
mdl_course_request	password
mdl_course_sections	id
mdl_course_sections	course
mdl_course_sections	section
mdl_course_sections	name
mdl_course_sections	summary
mdl_course_sections	summaryformat
mdl_course_sections	sequence
mdl_course_sections	visible
mdl_course_sections	availability
mdl_data	id
mdl_data	course
mdl_data	name
mdl_data	intro
mdl_data	introformat
mdl_data	comments
mdl_data	timeavailablefrom
mdl_data	timeavailableto
mdl_data	timeviewfrom
mdl_data	timeviewto
mdl_data	requiredentries
mdl_data	requiredentriestoview
mdl_data	maxentries
mdl_data	rssarticles
mdl_data	singletemplate
mdl_data	listtemplate
mdl_data	listtemplateheader
mdl_data	listtemplatefooter
mdl_data	addtemplate
mdl_data	rsstemplate
mdl_data	rsstitletemplate
mdl_data	csstemplate
mdl_data	jstemplate
mdl_data	asearchtemplate
mdl_data	approval
mdl_data	manageapproved
mdl_data	scale
mdl_data	assessed
mdl_data	assesstimestart
mdl_data	assesstimefinish
mdl_data	defaultsort
mdl_data	defaultsortdir
mdl_data	editany
mdl_data	notification
mdl_data	timemodified
mdl_data	config
mdl_data_content	id
mdl_data_content	fieldid
mdl_data_content	recordid
mdl_data_content	content
mdl_data_content	content1
mdl_data_content	content2
mdl_data_content	content3
mdl_data_content	content4
mdl_data_fields	id
mdl_data_fields	dataid
mdl_data_fields	type
mdl_data_fields	name
mdl_data_fields	description
mdl_data_fields	required
mdl_data_fields	param1
mdl_data_fields	param2
mdl_data_fields	param3
mdl_data_fields	param4
mdl_data_fields	param5
mdl_data_fields	param6
mdl_data_fields	param7
mdl_data_fields	param8
mdl_data_fields	param9
mdl_data_fields	param10
mdl_data_records	id
mdl_data_records	userid
mdl_data_records	groupid
mdl_data_records	dataid
mdl_data_records	timecreated
mdl_data_records	timemodified
mdl_data_records	approved
mdl_editor_atto_autosave	id
mdl_editor_atto_autosave	elementid
mdl_editor_atto_autosave	contextid
mdl_editor_atto_autosave	pagehash
mdl_editor_atto_autosave	userid
mdl_editor_atto_autosave	drafttext
mdl_editor_atto_autosave	draftid
mdl_editor_atto_autosave	pageinstance
mdl_editor_atto_autosave	timemodified
mdl_enrol	id
mdl_enrol	enrol
mdl_enrol	status
mdl_enrol	courseid
mdl_enrol	sortorder
mdl_enrol	name
mdl_enrol	enrolperiod
mdl_enrol	enrolstartdate
mdl_enrol	enrolenddate
mdl_enrol	expirynotify
mdl_enrol	expirythreshold
mdl_enrol	notifyall
mdl_enrol	password
mdl_enrol	cost
mdl_enrol	currency
mdl_enrol	roleid
mdl_enrol	customint1
mdl_enrol	customint2
mdl_enrol	customint3
mdl_enrol	customint4
mdl_enrol	customint5
mdl_enrol	customint6
mdl_enrol	customint7
mdl_enrol	customint8
mdl_enrol	customchar1
mdl_enrol	customchar2
mdl_enrol	customchar3
mdl_enrol	customdec1
mdl_enrol	customdec2
mdl_enrol	customtext1
mdl_enrol	customtext2
mdl_enrol	customtext3
mdl_enrol	customtext4
mdl_enrol	timecreated
mdl_enrol	timemodified
mdl_enrol_flatfile	id
mdl_enrol_flatfile	action
mdl_enrol_flatfile	roleid
mdl_enrol_flatfile	userid
mdl_enrol_flatfile	courseid
mdl_enrol_flatfile	timestart
mdl_enrol_flatfile	timeend
mdl_enrol_flatfile	timemodified
mdl_enrol_lti_lti2_consumer	id
mdl_enrol_lti_lti2_consumer	name
mdl_enrol_lti_lti2_consumer	consumerkey256
mdl_enrol_lti_lti2_consumer	consumerkey
mdl_enrol_lti_lti2_consumer	secret
mdl_enrol_lti_lti2_consumer	ltiversion
mdl_enrol_lti_lti2_consumer	consumername
mdl_enrol_lti_lti2_consumer	consumerversion
mdl_enrol_lti_lti2_consumer	consumerguid
mdl_enrol_lti_lti2_consumer	profile
mdl_enrol_lti_lti2_consumer	toolproxy
mdl_enrol_lti_lti2_consumer	settings
mdl_enrol_lti_lti2_consumer	protected
mdl_enrol_lti_lti2_consumer	enabled
mdl_enrol_lti_lti2_consumer	enablefrom
mdl_enrol_lti_lti2_consumer	enableuntil
mdl_enrol_lti_lti2_consumer	lastaccess
mdl_enrol_lti_lti2_consumer	created
mdl_enrol_lti_lti2_consumer	updated
mdl_enrol_lti_lti2_context	id
mdl_enrol_lti_lti2_context	consumerid
mdl_enrol_lti_lti2_context	lticontextkey
mdl_enrol_lti_lti2_context	type
mdl_enrol_lti_lti2_context	settings
mdl_enrol_lti_lti2_context	created
mdl_enrol_lti_lti2_context	updated
mdl_enrol_lti_lti2_nonce	id
mdl_enrol_lti_lti2_nonce	consumerid
mdl_enrol_lti_lti2_nonce	value
mdl_enrol_lti_lti2_nonce	expires
mdl_enrol_lti_lti2_resource_link	id
mdl_enrol_lti_lti2_resource_link	contextid
mdl_enrol_lti_lti2_resource_link	consumerid
mdl_enrol_lti_lti2_resource_link	ltiresourcelinkkey
mdl_enrol_lti_lti2_resource_link	settings
mdl_enrol_lti_lti2_resource_link	primaryresourcelinkid
mdl_enrol_lti_lti2_resource_link	shareapproved
mdl_enrol_lti_lti2_resource_link	created
mdl_enrol_lti_lti2_resource_link	updated
mdl_enrol_lti_lti2_share_key	id
mdl_enrol_lti_lti2_share_key	sharekey
mdl_enrol_lti_lti2_share_key	resourcelinkid
mdl_enrol_lti_lti2_share_key	autoapprove
mdl_enrol_lti_lti2_share_key	expires
mdl_enrol_lti_lti2_tool_proxy	id
mdl_enrol_lti_lti2_tool_proxy	toolproxykey
mdl_enrol_lti_lti2_tool_proxy	consumerid
mdl_enrol_lti_lti2_tool_proxy	toolproxy
mdl_enrol_lti_lti2_tool_proxy	created
mdl_enrol_lti_lti2_tool_proxy	updated
mdl_enrol_lti_lti2_user_result	id
mdl_enrol_lti_lti2_user_result	resourcelinkid
mdl_enrol_lti_lti2_user_result	ltiuserkey
mdl_enrol_lti_lti2_user_result	ltiresultsourcedid
mdl_enrol_lti_lti2_user_result	created
mdl_enrol_lti_lti2_user_result	updated
mdl_enrol_lti_tool_consumer_map	id
mdl_enrol_lti_tool_consumer_map	toolid
mdl_enrol_lti_tool_consumer_map	consumerid
mdl_enrol_lti_tools	id
mdl_enrol_lti_tools	enrolid
mdl_enrol_lti_tools	contextid
mdl_enrol_lti_tools	institution
mdl_enrol_lti_tools	lang
mdl_enrol_lti_tools	timezone
mdl_enrol_lti_tools	maxenrolled
mdl_enrol_lti_tools	maildisplay
mdl_enrol_lti_tools	city
mdl_enrol_lti_tools	country
mdl_enrol_lti_tools	gradesync
mdl_enrol_lti_tools	gradesynccompletion
mdl_enrol_lti_tools	membersync
mdl_enrol_lti_tools	membersyncmode
mdl_enrol_lti_tools	roleinstructor
mdl_enrol_lti_tools	rolelearner
mdl_enrol_lti_tools	secret
mdl_enrol_lti_tools	timecreated
mdl_enrol_lti_tools	timemodified
mdl_enrol_lti_users	id
mdl_enrol_lti_users	userid
mdl_enrol_lti_users	toolid
mdl_enrol_lti_users	serviceurl
